Date,AvgTemp,Consumption
4/23/2015,21.20,23.198
4/24/2015,22.52,24.388
4/25/2015,19.18,27.42
4/26/2015,19.04,30.479
4/27/2015,19.82,21.838
4/28/2015,20.26,20.812
4/29/2015,18.66,19.761
4/30/2015,16.22,20.452
5/1/2015,17.34,17.939
5/2/2015,19.26,25.272
5/3/2015,21.04,28.049
5/4/2015,19.96,25.317
5/5/2015,18.14,21.826
5/6/2015,17.76,20.68
5/7/2015,17.80,19.143
5/8/2015,16.14,18.146
5/9/2015,18.04,25.489
5/10/2015,16.94,23.537
5/11/2015,17.86,16.956
5/12/2015,17.12,19.052
5/13/2015,16.34,17.287
5/14/2015,16.72,20.3
5/15/2015,16.84,20.538
5/16/2015,17.18,23.702
5/17/2015,18.26,28.411
5/18/2015,18.60,21.073
5/19/2015,18.64,24.215
5/20/2015,18.74,19.525
5/21/2015,19.46,20.786
5/22/2015,20.26,20.429
5/23/2015,19.94,27.25
5/24/2015,21.80,31.387
5/25/2015,22.06,26.075
5/26/2015,21.28,22.162
5/27/2015,22.94,24.258
5/28/2015,18.56,24.683
5/29/2015,17.68,21.245
5/30/2015,17.52,25.937
5/31/2015,16.28,26.081
6/1/2015,16.28,16.228
6/2/2015,16.04,20.106
6/3/2015,17.94,21.055
6/4/2015,18.36,22.772
6/5/2015,18.32,25.142
6/6/2015,19.66,31.129
6/7/2015,20.62,30.498
6/8/2015,20.86,26.15
6/9/2015,20.32,21.327
6/10/2015,20.54,22.008
6/11/2015,22.72,24.615
6/12/2015,18.80,22.375
6/13/2015,21.10,29.607
6/14/2015,22.76,32.983
6/15/2015,16.02,19.119
6/16/2015,14.82,21.029
6/17/2015,19.80,23.898
6/18/2015,19.88,24.534
6/19/2015,14.66,16.748
6/20/2015,15.82,23.055
6/21/2015,17.32,28.857
6/22/2015,18.54,23.022
6/23/2015,19.02,27.146
6/24/2015,14.54,17.241
6/25/2015,14.72,19.463
6/26/2015,15.26,21.86
6/27/2015,15.34,24.227
6/28/2015,15.48,27.594
6/29/2015,17.20,24.863
6/30/2015,19.36,20.161
7/1/2015,17.78,20.824
7/2/2015,17.20,19.727
7/3/2015,17.52,14.94
7/4/2015,14.94,24.632
7/5/2015,12.90,21.294
7/6/2015,15.78,18.448
7/7/2015,16.80,21.237
7/8/2015,17.02,19.849
7/9/2015,17.54,20.74
7/10/2015,19.24,25.698
7/11/2015,17.46,26.691
7/12/2015,20.32,33.298
7/13/2015,22.06,25.64
7/14/2015,23.30,23.937
7/15/2015,20.18,28.742
7/16/2015,19.88,21.748
7/17/2015,19.14,22.032
7/18/2015,20.20,24.827
7/19/2015,19.98,32.473
7/20/2015,20.56,20.62
7/21/2015,16.72,21.825
7/22/2015,14.52,14.343
7/23/2015,17.02,19.029
7/24/2015,18.46,21.104
7/25/2015,15.90,20.738
7/26/2015,16.82,25.233
7/27/2015,16.60,18.975
7/28/2015,16.46,19.64
7/29/2015,16.20,22.522
7/30/2015,16.76,24.227
7/31/2015,19.24,24.726
8/1/2015,19.78,32.467
8/2/2015,20.10,31.663
8/3/2015,21.16,25.867
8/4/2015,21.04,27.724
8/5/2015,20.96,22.039
8/6/2015,21.06,26.127
8/7/2015,22.08,26.58
8/8/2015,21.16,31.31
8/9/2015,19.62,33.517
8/10/2015,21.20,23.181
8/11/2015,19.60,24.183
8/12/2015,20.12,24.594
8/13/2015,20.42,22.61
8/14/2015,20.86,25.479
8/15/2015,21.44,29.621
8/16/2015,20.56,26.272
8/17/2015,21.58,22.541
8/18/2015,21.30,23.07
8/19/2015,20.74,26.021
8/20/2015,16.20,17.655
8/21/2015,16.84,23.243
8/22/2015,18.08,30.177
8/23/2015,20.22,27.518
8/24/2015,16.98,23.21
8/25/2015,16.98,21.092
8/26/2015,18.92,23.357
8/27/2015,16.10,17.888
8/28/2015,16.28,22.217
8/29/2015,18.46,31.681
8/30/2015,22.52,31.833
8/31/2015,24.54,28.441
9/1/2015,21.44,22.389
9/2/2015,16.10,20.681
9/3/2015,19.30,24.222
9/4/2015,16.66,19.345
9/5/2015,16.12,21.827
9/6/2015,16.48,23.566
9/7/2015,18.72,20.227
9/8/2015,17.08,17.075
9/9/2015,18.82,16.977
9/10/2015,18.92,21.525
9/11/2015,16.88,21.454
9/12/2015,14.00,21.814
9/13/2015,14.18,21.252
9/14/2015,16.46,20.464
9/15/2015,21.18,30.775
9/16/2015,25.24,25.343
9/17/2015,27.26,33.93
9/18/2015,28.06,26.311
9/19/2015,28.00,31.836
9/20/2015,23.60,34.695
9/21/2015,24.72,29.829
9/22/2015,25.70,26.362
9/23/2015,26.14,32.589
9/24/2015,28.30,30.345
9/25/2015,23.24,29.411
9/26/2015,20.58,29.637
9/27/2015,22.30,32.184
9/28/2015,21.22,17.731
9/29/2015,21.80,24.114
9/30/2015,21.52,28.034
10/1/2015,20.96,22.664
10/2/2015,24.74,27.488
10/3/2015,20.28,24.876
10/4/2015,18.60,24.862
10/5/2015,17.36,24.679
10/6/2015,18.26,22.304
10/7/2015,24.50,30.329
10/8/2015,26.56,33.182
10/9/2015,24.52,23.849
10/10/2015,23.06,33.33
10/11/2015,22.48,34.496
10/12/2015,22.76,26.249
10/13/2015,21.40,26.523
10/14/2015,23.62,26.793
10/15/2015,28.12,35.861
10/16/2015,26.24,27.387
10/17/2015,21.22,32.666
10/18/2015,16.76,22.199
10/19/2015,19.86,24
10/20/2015,26.30,27.871
10/21/2015,24.62,31.139
10/22/2015,19.90,23.065
10/23/2015,20.50,26.594
10/24/2015,17.94,27.657
10/25/2015,17.64,26.594
10/26/2015,20.86,28.084
10/27/2015,22.00,27.582
10/28/2015,20.42,24.862
10/29/2015,20.56,22.634
10/30/2015,23.86,31.649
10/31/2015,23.18,35.781
11/1/2015,20.22,24.429
11/2/2015,21.82,20.648
11/3/2015,21.86,22.741
11/4/2015,21.52,21.479
11/5/2015,21.80,23.134
11/6/2015,19.76,20.575
11/7/2015,18.30,24.33
11/8/2015,20.24,28.61
11/9/2015,22.98,28.456
11/10/2015,23.72,27.964
11/11/2015,26.20,29.569
11/12/2015,23.78,29.267
11/13/2015,22.78,28.647
11/14/2015,25.06,26.836
11/15/2015,23.06,29.386
11/16/2015,21.16,24.609
11/17/2015,21.76,26.964
11/18/2015,25.50,23.614
11/19/2015,26.16,22.96
11/20/2015,23.28,20.332
11/21/2015,19.44,30.392
11/22/2015,22.26,31.933
11/23/2015,20.80,21.662
11/24/2015,21.36,21.689
11/25/2015,21.26,25.119
11/26/2015,22.28,25.285
11/27/2015,22.28,28.979
11/28/2015,23.70,34.382
11/29/2015,22.38,30.617
11/30/2015,19.10,20.238
12/1/2015,20.10,24.529
12/2/2015,22.10,30.471
12/3/2015,22.44,28.405
12/4/2015,22.76,29.513
12/5/2015,24.80,32.451
12/6/2015,23.12,32.78
12/7/2015,20.04,23.375
12/8/2015,21.70,27.713
12/9/2015,23.96,27.137
12/10/2015,24.00,22.933
12/11/2015,24.04,30.74
12/12/2015,23.92,29.579
12/13/2015,24.54,29.188
12/14/2015,26.28,28.131
12/15/2015,25.66,28.617
12/16/2015,22.04,21.062
12/17/2015,23.32,24.337
12/18/2015,26.42,27.042
12/19/2015,23.74,32.536
12/20/2015,22.84,30.127
12/21/2015,23.12,24.834
12/22/2015,24.60,26.828
12/23/2015,27.46,26.468
12/24/2015,24.72,31.572
12/25/2015,23.58,26.308
12/26/2015,23.34,21.955
12/27/2015,24.00,32.307
12/28/2015,22.64,26.095
12/29/2015,21.68,22.309
12/30/2015,21.38,20.467
12/31/2015,24.76,22.446
