restaurant,item,calories,cal_fat,cholesterol,total_carb,fiber,protein
Sonic,Large Spicy Jumbo Popcorn Chicken,610,270,80,51,3,36
Sonic,3 Piece Super Crunch Chicken Strip Dinner,970,410,55,109,7,30
Sonic,4 Piece Super Crunch Chicken Strip Dinner,1080,460,75,118,8,37
Sonic,5 Piece Super Crunch Chicken Strip Dinner,1190,510,90,126,8,44
Sonic,3 Piece Super Crunch Chicken Strips,330,140,55,25,2,22
Sonic,4 Piece Super Crunch Chicken Strips,440,190,70,34,2,29
Sonic,5 Piece Super Crunch Chicken Strips,550,240,90,42,3,36
Sonic,Traditional Ultimate Chicken Sandwich,730,350,90,62,3,32
Sonic,Ultimate Chicken Club,100,580,100,65,4,39
Sonic,"All Beef All-american Style Dog – 6""",370,160,40,40,1,12
Sonic,"All Beef Chicago Dog – 6""",430,180,40,49,1,14
Sonic,"All Beef Chili Cheese Coney – 6""",410,230,65,30,2,17
Sonic,"All Beef New York Dog – 6""",340,170,40,30,3,13
Sonic,"All Beef Regular Hot Dog – 6""",320,160,40,27,1,11
Sonic,Cheesy Bacon Pretzel Dog - 6 In.,500,240,50,46,2,15
Sonic,Corn Dog,210,100,20,23,2,6
Sonic,Footlong Quarter Pound Coney,830,490,85,54,3,30
Sonic,The Original Pretzel Dog,320,160,35,27,1,11
Arbys,Arby's Melt,330,100,30,40,2,18
Arbys,Arby-Q Sandwich,400,90,30,58,3,18
Arbys,Beef 'n Cheddar Classic,450,180,50,45,2,23
Arbys,Beef 'n Cheddar Mid,630,290,100,48,2,39
Arbys,Bourbon BBQ Brisket Sandwich,650,300,105,51,2,38
Arbys,Bourbon BBQ Chicken Sandwich,690,280,90,66,3,38
Arbys,Bourbon BBQ Steak Sandwich,690,280,90,66,3,38
Arbys,Buttermilk Buffalo Chicken Sandwich,540,220,60,53,2,29
Arbys,Buttermilk Chicken Bacon & Swiss,650,280,90,56,2,39
Arbys,Buttermilk Chicken Cordon Bleu Sandwich,690,310,110,53,1,41
Arbys,Buttermilk Crispy Chicken Sandwich,550,230,60,52,2,29
Arbys,Classic French Dip & Swiss/Au Jus,540,210,85,50,2,35
Arbys,Classic Roast Beef,360,120,50,37,2,23
Arbys,Double Roast Beef,510,210,95,38,2,38
Arbys,Fire-Roasted Philly Steak,640,290,105,46,3,42
Arbys,Grand Turkey Club,480,220,65,37,2,30
Arbys,Greek Gyro,710,390,75,55,4,23
Arbys,Half Pound Beef 'n Cheddar Sandwich,740,350,130,48,2,49
Arbys,Half Pound French Dip & Swiss,750,330,150,51,2,55
Arbys,Half Pound Roast Beef Sandwich,610,270,130,38,2,48
Arbys,Ham & Swiss Melt,300,80,35,37,2,18
Arbys,Loaded Italian Sandwich,680,360,100,49,3,32
Arbys,Pecan Chicken Salad Flatbread,710,410,65,53,4,22
Arbys,Pecan Chicken Salad Sandwich,840,400,75,81,6,33
Arbys,2 piece Prime-Cut Chicken Tenders,240,100,30,19,1,16
Arbys,3 piece Prime-Cut Chicken Tenders,360,150,45,28,2,23
Arbys,5 piece Prime-Cut Chicken Tenders,600,250,75,47,3,39
Arbys,Reuben Sandwich,680,280,80,62,4,37
Arbys,Roast Beef Gyro,550,260,60,48,3,24
Arbys,Roast Turkey & Swiss Sandwich,710,260,65,79,5,38
Arbys,Roast Turkey & Swiss Wrap,520,240,65,39,4,30
Arbys,"Roast Turkey, Ranch & Bacon Sandwich",800,310,80,79,5,45
Arbys,"Roast Turkey, Ranch & Bacon Wrap",620,310,85,39,4,37
Arbys,Smoke Mountain w/ Beef Short Rib,740,320,125,62,4,43
Arbys,Smokehouse Beef Short Rib Sandwich,590,250,75,59,4,26
Arbys,Smokehouse Brisket,600,310,110,42,2,33
Arbys,Super Roast Beef,430,160,45,45,3,23
Arbys,Three Cheese Steak Sandwich,650,320,115,44,2,30
Arbys,Triple Decker Sandwich,1030,459,155,83,5,62
Arbys,Turkey Avocado Club,730,252,65,80,6,41
Arbys,Turkey Gyro,470,180,45,48,3,25
Arbys,Ultimate BLT,980,495,85,80,6,43
Arbys,Buffalo Chicken Slider,290,120,20,31,2,12
Arbys,Chicken Tender 'n Cheese Slider,290,110,25,30,1,15
Arbys,Corned Beef 'n Cheese Slider,220,80,30,21,1,14
Arbys,Ham 'n Cheese Slider,210,70,25,21,1,13
Arbys,Jalapeno Roast Beef 'n Cheese Slider,240,90,30,21,1,14
Arbys,Pizza Slider,300,150,35,23,1,13
Arbys,Roast Beef 'n Cheese Slider,240,90,30,21,1,14
Arbys,Turkey 'n Cheese Slider,200,60,25,21,1,14
Arbys,Chopped Side Salad,70,45,15,4,1,5
Arbys,Crispy Chicken Farmhouse Salad,430,220,65,26,4,28
Arbys,Greek Gyro Salad,420,340,55,11,2,10
Arbys,Roast Turkey Farmhouse Salad,230,120,55,8,2,22
Arbys,Super Greek Salad,720,480,85,39,5,22
Burger King,American Brewhouse King,1550,1134,805,21,3,134
Burger King,Bacon & Swiss Sourdough King,1000,585,200,48,2,56
Burger King,Bacon Cheeseburger,330,140,55,32,1,18
Burger King,Bacon Cheeseburger Deluxe,290,120,40,28,1,12
Burger King,Bacon King,1040,630,220,48,1,57
Burger King,Bacon King Jr,730,351,90,63,0,32
Burger King,BBQ Bacon King,1100,675,220,51,NA,57
Burger King,Cheeseburger,300,130,45,28,1,16
Burger King,Double Bacon Cheeseburger,520,280,105,33,1,31
Burger King,Double Cheeseburger,450,230,95,29,1,26
Burger King,Double Hamburger,360,160,70,28,1,22
Burger King,Double Quarter Pound King,900,486,210,50,2,56
Burger King,Extra Long Cheeseburger,580,300,85,45,2,26
Burger King,Farmhouse King,1220,720,335,62,NA,NA
Burger King,Hamburger,260,90,35,28,1,13
Burger King,Homestyle Cheeseburger,550,250,95,48,2,30
Burger King,Jalapeno King Sandwich,990,585,205,46,2,55
Burger King,Mushroom & Swiss King,940,567,175,45,NA,49
Burger King,Rodeo Burger,310,110,25,38,1,9
Burger King,Rodeo King,1250,738,230,69,3,60
Burger King,Sourdough King Single,730,387,125,52,2,35
Burger King,Sourdough King Double,970,549,205,52,2,55
Burger King,Steakhouse King,1100,666,180,59,NA,50
Burger King,Bacon & Cheese Whopper,770,432,95,47,2,29
Burger King,DOUBLE WHOPPER w/o Cheese,900,510,140,51,3,47
Burger King,DOUBLE WHOPPER w/ Cheese,990,580,160,53,3,52
Burger King,WHOPPER w/o Cheese,660,360,90,49,2,28
Burger King,WHOPPER w/ Cheese,760,430,100,53,3,33
Burger King,WHOPPER JR. w/o Cheese,340,170,40,28,2,14
Burger King,WHOPPER JR. w/ Cheese,380,210,55,29,2,16
Burger King,Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing,590,360,150,18,3,42
Burger King,Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,720,450,120,32,5,36
Burger King,Chicken BLT Salad w/ Grilled Chicken,550,330,115,17,3,36
Burger King,Chicken BLT Salad w/ Crispy Chicken,690,430,100,31,4,35
Burger King,Chicken Caesar Salad w/ Grilled Chicken,530,290,95,26,3,35
Burger King,Chicken Caesar Salad w/ Crispy Chicken,670,380,80,40,5,34
Burger King,"Chicken, Apple & Cranberry Salad w/ Grilled Chicken",560,270,90,40,4,29
Burger King,"Chicken, Apple & Cranberry Salad w/ Crispy Chicken",700,370,80,54,5,28
Burger King,"Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing",320,120,115,16,2,36
Burger King,"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",450,220,85,30,5,29
Burger King,Side Caesar Salad with dressing,220,180,10,7,2,6
Burger King,Side Garden Salad and Avocado Ranch Dressing,230,190,30,7,2,5
Burger King,Bacon Cheddar Ranch Crispy Chicken Sandwich,830,468,110,57,NA,34
Burger King,BBQ Bacon Crispy Chicken Sandwich,440,243,15,44,NA,7
Burger King,Big Fish Sandwich,530,250,30,54,2,17
Burger King,BK VEGGIE Burger,410,150,5,44,7,22
Burger King,Chicken Burger,480,220,5,42,2,22
Burger King,Chicken Cordon Bleu Sandwich,730,351,90,63,NA,32
Burger King,Chicken Fries,290,150,40,18,1,16
Burger King,4 Piece Chicken Nuggets,190,100,25,10,1,10
Burger King,6 Piece Chicken Nuggets,290,150,40,15,1,15
Burger King,20 Piece Chicken Nuggets,950,500,130,50,5,51
Burger King,Chicken Nuggets (10pc),470,260,50,34,5,21
Burger King,Chicken Parmesan Sandwich,570,225,70,57,NA,32
Burger King,Crispy Buffalo Chicken Melt,580,252,70,56,NA,30
Burger King,Crispy Chicken Jr.,430,250,30,34,2,12
Burger King,Crispy Chicken Sandwich,670,370,60,54,2,23
Burger King,Grilled Chicken Sandwich,470,170,85,39,2,37
Burger King,Grilled Chili Cheese Dog,330,170,40,28,2,14
Burger King,Grilled Hot Dog,310,140,30,32,2,11
Burger King,Jalapeno Chicken Fries,300,160,40,19,1,15
Burger King,Original Chicken Sandwich,630,350,65,46,3,24
Burger King,Pretzel Chicken Fries,340,189,45,21,1,16
Burger King,Rodeo Crispy Chicken Sandwich,410,150,20,53,2,12
Burger King,Sourdough Chicken Club,840,459,95,62,3,32
Burger King,4 Piece Spicy Chicken Nuggets,210,135,20,11,2,8
Burger King,Spicy Chicken Nuggets,530,333,55,28,NA,20
Burger King,Spicy Crispy Chicken Jr.,410,220,35,35,2,12
Burger King,Spicy Crispy Chicken Sandwich,700,378,65,57,3,25
Burger King,Spicy Crispy Jalapeno Chicken Sandwich,760,405,95,58,3,32
Dairy Queen,1/2 lb. FlameThrower® GrillBurger,1000,660,170,40,2,46
Dairy Queen,1/2 lb. GrillBurger with Cheese,800,460,135,44,3,40
Dairy Queen,1/4 lb. Bacon Cheese GrillBurger,630,330,95,44,2,30
Dairy Queen,1/4 lb. GrillBurger with Cheese,540,270,70,44,3,23
Dairy Queen,1/4 lb. Mushroom Swiss GrillBurger,570,310,75,39,2,24
Dairy Queen,Original Cheeseburger,400,160,65,34,1,19
Dairy Queen,Original Double Cheeseburger,630,310,125,34,1,34
Dairy Queen,4 Piece Chicken Strip Basket w/ Country Gravy,1030,480,80,105,9,35
Dairy Queen,6 Piece Chicken Strip Basket w/ Country Gravy,1260,590,120,121,12,49
Dairy Queen,Bacon Cheese Dog,420,240,60,26,1,19
Dairy Queen,Cheese Dog,390,220,50,26,1,16
Dairy Queen,Chili Cheese Dog,380,220,55,23,1,16
Dairy Queen,Chili Dog,330,180,40,24,1,13
Dairy Queen,Hot Dog,290,160,35,22,1,11
Dairy Queen,Relish Dog,350,180,35,30,1,13
Dairy Queen,Barbecue Pork Sandwich,310,80,50,41,2,17
Dairy Queen,Breaded Mushrooms,250,80,0,36,2,7
Dairy Queen,Regular Cheese Curds,550,410,150,0,0,35
Dairy Queen,Large Cheese Curds,1050,670,180,52,0,43
Dairy Queen,Chili Cheese Mega Dog,760,440,100,48,2,32
Dairy Queen,Corn Dog,260,140,20,26,1,6
Dairy Queen,Crispy Fish Sandwich,470,200,20,53,2,17
Dairy Queen,Deluxe Cheeseburger,400,160,65,35,1,20
Dairy Queen,Deluxe Double Cheeseburger,640,310,125,35,1,34
Dairy Queen,Deluxe Double Hamburger,540,240,100,34,1,29
Dairy Queen,Deluxe Hamburger,350,130,50,34,1,17
Dairy Queen,DQ Ultimate® Burger,780,430,150,34,1,41
Dairy Queen,Pork Tenderloin Sandwich,580,310,45,48,2,19
Dairy Queen,Steak Finger Basket,910,430,45,95,5,23
Dairy Queen,3 chicken strips Chicken Strips,350,180,60,22,10,22
Dairy Queen,Chicken Bacon Ranch Sandwich,500,180,65,45,3,33
Dairy Queen,Chicken Mozzarella Sandwich,640,220,60,68,4,34
Dairy Queen,Crispy Chicken BLT Salad,520,280,100,25,9,37
Dairy Queen,Crispy Chicken Garden Greens Salad,280,120,40,24,9,17
Dairy Queen,Crispy Chicken Sandwich,600,270,55,59,7,24
Dairy Queen,Crispy Chicken Wrap,350,190,35,30,2,12
Dairy Queen,Grilled Chicken BLT Salad,380,170,100,11,3,42
Dairy Queen,Grilled Chicken Garden Greens Salad,150,20,40,10,3,23
Dairy Queen,Grilled Chicken Sandwich,360,140,50,32,1,25
Dairy Queen,Grilled Chicken Wrap,280,130,30,22,1,15
Dairy Queen,Side Salad,20,0,0,5,2,1
Dairy Queen,Turkey BLT Sandwich,550,240,60,45,3,30
Subway,"6"" B.L.T.",320,80,20,43,5,15
Subway,Footlong B.L.T.,640,160,40,86,10,30
Subway,"6"" BBQ Rib Sandwich",430,160,50,47,5,19
Subway,Footlong BBQ Rib Sandwich,860,320,100,94,10,38
Subway,"6"" Big Hot Pastrami",580,310,85,47,5,29
Subway,Footlong Big Hot Pastrami,1160,620,170,94,10,58
Subway,"6"" Big Philly Cheesesteak",500,150,85,51,6,38
Subway,Footlong Big Philly Cheesesteak,1000,300,170,102,12,76
Subway,Kids Mini Sub Black Forest Ham,180,20,10,30,3,10
Subway,"6"" Black Forest Ham",290,40,20,46,5,18
Subway,Footlong Black Forest Ham,580,80,40,92,10,36
Subway,"6"" Carved Turkey",330,45,45,45,5,25
Subway,Footlong Carved Turkey,660,90,90,90,10,50
Subway,"6"" Carved Turkey & Bacon w/ Cheese",570,230,70,46,5,33
Subway,Footlong Carved Turkey & Bacon w/ Cheese,1140,460,140,92,10,66
Subway,"6"" Chicken & Bacon Ranch Melt",570,250,95,47,5,35
Subway,Footlong Chicken & Bacon Ranch Melt,1140,500,190,94,10,70
Subway,"6"" Chicken Pizziola Melt",460,140,80,49,6,32
Subway,Footlong Chicken Pizziola Melt,920,280,160,98,12,64
Subway,"6"" Cold Cut Combo",370,120,50,46,5,18
Subway,Footlong Cold Cut Combo,740,240,100,92,10,36
Subway,"6"" Corned Beef Reuben",470,130,85,45,7,39
Subway,Footlong Corned Beef Reuben,940,260,170,90,14,78
Subway,"6"" Italian B.M.T.",410,150,45,46,5,20
Subway,Footlong Italian B.M.T.,820,300,90,92,10,40
Subway,"6"" Italian Hero",550,260,75,47,5,26
Subway,Footlong Italian Hero,1100,520,150,94,10,52
Subway,"6"" Meatball Marinara",480,160,30,59,8,21
Subway,Footlong Meatball Marinara,960,320,60,118,16,42
Subway,"6"" Oven Roasted Chicken",320,40,25,47,5,23
Subway,Footlong Oven Roasted Chicken,640,80,50,44,10,46
Subway,Kids Mini Sub Roast Beef,200,25,25,30,4,14
Subway,"6"" Roast Beef",320,40,40,45,5,24
Subway,Footlong Roast Beef,640,80,80,90,10,48
Subway,"6"" Rotisserie Style Chicken",350,50,50,44,5,29
Subway,Footlong Rotisserie Style Chicken,700,100,100,88,10,58
Subway,"6"" Spicy Italian",480,220,50,46,5,20
Subway,Footlong Spicy Italian,960,440,100,92,10,40
Subway,"6"" Steak and Cheese",380,90,50,48,5,26
Subway,Footlong Steak and Cheese,760,180,100,96,10,52
Subway,"6"" Subway Club",310,40,40,46,5,23
Subway,Footlong Subway Club,620,80,80,92,10,46
Subway,"6"" Subway Melt (includes cheese)",370,100,45,47,5,23
Subway,Footlong Subway Melt (includes cheese),740,200,90,94,10,46
Subway,"6"" Subway Seafood Sensation",420,170,20,51,5,13
Subway,Footlong Subway Seafood Sensation,840,340,40,102,10,26
Subway,"6"" Sweet Onion Chicken Teriyaki",380,40,50,59,5,26
Subway,Footlong Sweet Onion Chicken Teriyaki,760,80,100,118,10,52
Subway,"6"" Tuna",470,210,30,44,5,20
Subway,Footlong Tuna,940,420,60,88,10,40
Subway,"6"" Turkey & Bacon Avocado",390,110,30,49,8,22
Subway,Footlong Turkey & Bacon Avocado,780,220,60,98,16,44
Subway,Kids Mini Sub Turkey Breast,180,20,10,30,3,10
Subway,"6"" Turkey Breast",280,30,20,46,5,18
Subway,Footlong Turkey Breast,560,60,40,92,10,36
Subway,"6"" Turkey Breast & Ham",280,35,20,46,5,18
Subway,Footlong Turkey Breast & Ham,560,70,40,92,10,36
Subway,"6"" Turkey Italiano Melt (with Provolone)",490,210,50,47,5,24
Subway,Footlong Turkey Italiano Melt (with Provolone),980,420,100,94,10,48
Subway,Kids Mini Sub Veggie Delite,150,15,0,29,3,6
Subway,"6"" Veggie Delite",230,20,0,44,5,8
Subway,Footlong Veggie Delite,460,40,0,88,10,16
Subway,"6"" Veggie Patty",390,70,10,56,8,23
Subway,Footlong Veggie Patty,780,140,20,112,16,46
Subway,Autumn Carved Turkey Salad,300,80,60,26,3,25
Subway,B.L.T. Salad,150,70,20,10,4,10
Subway,Big Hot Pastrami Melt Salad,400,300,85,12,4,23
Subway,Big Philly Cheesesteak Salad,330,140,85,17,5,32
Subway,Black Forest Ham Salad,110,25,20,11,4,12
Subway,Buffalo Chicken Salad (with Ranch dressing),360,230,60,13,4,20
Subway,Carved Turkey & Bacon w/ Cheese Salad,280,110,65,11,4,28
Subway,Carved Turkey Salad,150,30,45,8,3,19
Subway,Chicken & Bacon Ranch Melt Salad (includes Ranch dressing),510,340,100,14,4,30
Subway,Cold Cut Combo Salad,180,95,45,12,4,12
Subway,Double Chicken Salad,220,35,100,10,4,36
Subway,Italian B.M.T.® Salad,230,135,45,12,4,14
Subway,Italian Hero Salad,230,140,45,13,4,14
Subway,Meatball Marinara Salad,310,150,30,25,6,16
Subway,Oven Roasted Chicken Salad,140,25,50,10,4,19
Subway,Roast Beef Salad,140,30,40,10,4,18
Subway,Spicy Italian Salad,310,205,50,11,4,15
Subway,Steak & Cheese Salad,210,75,50,14,4,20
Subway,Subway Club Salad,140,30,40,11,4,17
Subway,Subway Melt® Salad,200,85,45,13,4,18
Subway,Sweet Onion Chicken Teriyaki Salad,200,25,50,24,4,20
Subway,Tuna Salad,310,215,40,10,4,15
Subway,Turkey Breast & Ham Salad,110,20,25,11,4,12
Subway,Turkey Breast Salad,110,20,20,11,4,12
Subway,Veggie Delite Salad,50,10,0,9,4,3
Subway,Chipotle Southwest Steak & Cheese Wrap,760,330,100,65,4,43
Subway,Rotisserie-Style Chicken Caesar Wrap,730,310,135,53,3,55
Subway,"Turkey, Bacon & Guacamole Wrap",810,380,75,62,3,43
Subway,Cheese & Veggies Pizza,740,230,50,100,5,36
Subway,Cheese Pizza,680,200,40,96,4,32
Subway,Pepperoni Pizza,790,290,60,96,4,38
Subway,Sausage Pizza,820,310,70,97,4,39
Taco Bell,1/2 lb.* Cheesy Potato Burrito,540,230,45,59,7,19
Taco Bell,1/2 lb.* Combo Burrito,460,170,45,53,9,21
Taco Bell,7-Layer Burrito,510,170,20,68,11,16
Taco Bell,Bean Burrito,370,100,5,56,9,13
Taco Bell,Beefy 5-Layer Burrito,550,200,35,68,8,19
Taco Bell,Beefy Fritos® Burrito,440,160,20,55,4,13
Taco Bell,Black Bean Burrito,410,110,10,62,8,14
Taco Bell,Burrito Supreme® – Beef,420,140,35,53,8,16
Taco Bell,Burrito Supreme® - Chicken,390,110,40,52,7,19
Taco Bell,Burrito Supreme® - Steak,390,120,30,52,7,17
