Arancel,Año,MES,ValorCIF,PesoNeto
8545.90.00,2011,4,2726,121
9405.92.00,2011,4,3694,328
9022.19.00,2011,4,4477,111
9015.80.90,2011,4,6397,38
9026.80.00,2011,4,6635,42
9015.80.10,2011,4,8186,25
8803.30.00,2011,4,13712,22
9027.30.00,2011,4,12488,124
9023.00.00,2011,4,17745,35
9609.10.10,2011,4,70,10
9017.20.00,2011,4,87,3
9506.61.00,2011,4,101,2
8803.90.00,2011,4,100,3
9306.29.10,2011,4,106,27
9208.90.20,2011,4,108,2
8543.90.10,2011,4,103,5
8544.60.92,2011,4,103,5
8712.00.30,2011,4,105,15
9403.70.11,2011,4,119,15
9603.40.90,2011,4,151,12
9010.50.90,2011,4,191,3
9505.10.10,2011,4,171,9
9102.12.00,2011,4,201,4
9603.90.91,2011,4,989,32
9013.80.10,2011,4,107,1
9405.10.51,2011,4,116,3
9503.00.30,2011,4,117,6
9506.69.10,2011,4,128,5
9105.29.00,2011,4,137,3
9209.99.10,2011,4,153,1
8714.11.00,2011,4,158,53
9404.90.20,2011,4,171,5
9108.19.00,2011,4,169,1
9401.20.30,2011,4,188,10
9504.90.19,2011,4,172,7
9114.10.00,2011,4,213,5
9506.32.00,2011,4,283,28
9503.00.60,2011,4,261,16
9603.50.10,2011,4,310,14
8545.20.00,2011,4,296,4
8543.20.00,2011,4,323,2
9403.40.90,2011,4,471,101
9008.40.00,2011,4,633,3
9011.10.00,2011,4,146,4
8804.00.00,2011,4,161,4
9104.00.00,2011,4,202,4
9506.70.00,2011,4,226,10
